timestamp,MEXC_BTC/USDT_Ask,MEXC_BTC/USDT_Bid,Bybit_BTCUSDC_Ask,Bybit_BTCUSDC_Bid,Diff
2023-09-03 12:24:54,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:24:55,25913.65,25913.64,25912.9,25909.88,-0.75
2023-09-03 12:24:57,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:24:59,25913.65,25913.64,25912.88,25909.88,-0.7700000000004366
2023-09-03 12:25:00,25913.65,25913.64,25914.0,25910.16,0.3499999999985448
2023-09-03 12:25:02,25913.65,25913.64,25913.52,25910.41,-0.13000000000101863
2023-09-03 12:25:04,25913.65,25913.64,25913.52,25910.41,-0.13000000000101863
2023-09-03 12:25:06,25913.65,25913.64,25913.21,25910.01,-0.4400000000023283
2023-09-03 12:25:08,25913.65,25913.64,25913.67,25910.01,0.01999999999679858
2023-09-03 12:25:10,25913.65,25913.64,25913.67,25910.01,0.01999999999679858
2023-09-03 12:25:11,25913.65,25913.64,25913.57,25910.01,-0.08000000000174623
2023-09-03 12:25:14,25913.65,25913.64,25913.55,25910.01,-0.10000000000218279
2023-09-03 12:25:15,25913.65,25913.64,25913.45,25910.01,-0.2000000000007276
2023-09-03 12:25:18,25913.65,25913.64,25913.45,25910.01,-0.2000000000007276
2023-09-03 12:25:19,25913.65,25913.64,25913.45,25910.01,-0.2000000000007276
2023-09-03 12:25:21,25913.68,25913.64,25914.84,25910.14,1.1599999999998545
2023-09-03 12:25:22,25913.65,25913.64,25914.97,25910.02,1.319999999999709
2023-09-03 12:25:24,25913.65,25913.64,25915.0,25910.0,1.3499999999985448
2023-09-03 12:25:25,25913.65,25913.64,25914.97,25910.11,1.319999999999709
2023-09-03 12:25:27,25913.65,25913.64,25915.04,25910.01,1.389999999999418
2023-09-03 12:25:29,25913.65,25913.64,25915.04,25910.0,1.389999999999418
2023-09-03 12:25:31,25913.65,25913.64,25915.04,25910.0,1.389999999999418
2023-09-03 12:25:32,25913.65,25913.64,25915.02,25910.0,1.3699999999989814
2023-09-03 12:25:35,25913.65,25913.64,25915.0,25910.01,1.3499999999985448
