timestamp,Bybit_ETHUSDC_bid,Bybit_ETHUSDC_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_ETHPERPCMCBL_bid,Bitget_ETHPERPCMCBL_ask
2023-08-01 01:30:26,1857.26,1857.38,1858.15,1858.2,1856.98,1857.06
2023-08-01 01:30:57,1857.24,1857.39,1858.15,1858.2,1856.93,1857.01
2023-08-01 01:31:27,1857.02,1857.15,1858.15,1858.2,1856.75,1856.83
2023-08-01 01:31:58,1857.08,1857.27,1858.15,1858.2,1856.53,1856.61
2023-08-01 01:32:29,1856.81,1856.91,1857.9,1857.95,1856.44,1856.52
2023-08-01 01:32:59,1856.6,1856.73,1857.3,1857.35,1855.95,1856.03
2023-08-01 01:33:30,1855.87,1856.05,1857.05,1857.1,1855.59,1855.67
2023-08-01 01:34:01,1854.98,1855.1,1856.0,1856.05,1854.31,1854.39
2023-08-01 01:34:31,1855.44,1855.6,1856.0,1856.05,1854.31,1854.39
2023-08-01 01:35:02,1855.49,1855.66,1856.0,1856.05,1854.44,1854.52
2023-08-01 01:35:33,1855.25,1855.36,1856.3,1856.35,1854.96,1855.04
2023-08-01 01:36:04,1855.26,1855.43,1856.05,1856.1,1854.96,1855.04
2023-08-01 01:36:34,1855.46,1855.59,1856.05,1856.1,1854.74,1854.82
2023-08-01 01:37:05,1855.23,1855.37,1856.05,1856.1,1854.74,1854.82
2023-08-01 01:37:36,1855.24,1855.6,1856.05,1856.1,1854.74,1854.82
2023-08-01 01:38:06,1855.22,1855.39,1856.05,1856.1,1854.74,1854.82
2023-08-01 01:38:37,1856.04,1856.14,1856.8,1856.85,1855.05,1855.13
2023-08-01 01:39:08,1856.15,1856.26,1857.05,1857.1,1855.47,1855.55
2023-08-01 01:39:38,1856.69,1856.99,1857.45,1857.5,1855.77,1855.85
2023-08-01 01:40:09,1857.03,1857.15,1857.8,1857.85,1856.31,1856.39
2023-08-01 01:40:40,1856.47,1856.58,1857.55,1857.6,1856.31,1856.39
2023-08-01 01:41:11,1856.3,1856.45,1857.55,1857.6,1856.31,1856.39
2023-08-01 01:41:41,1856.01,1856.24,1857.55,1857.6,1856.31,1856.39
2023-08-01 01:42:12,1855.9,1856.04,1857.25,1857.3,1856.15,1856.23
2023-08-01 01:42:43,1855.43,1855.6,1856.45,1856.5,1855.16,1855.24
2023-08-01 01:43:13,1856.0,1856.12,1856.7,1856.75,1855.33,1855.41
2023-08-01 01:43:44,1856.61,1856.71,1857.35,1857.4,1855.58,1855.8
2023-08-01 01:44:15,1856.54,1856.71,1857.55,1857.6,1855.56,1855.68
2023-08-01 01:44:45,1856.49,1856.59,1857.55,1857.6,1855.75,1856.0
2023-08-01 01:45:16,1856.66,1856.77,1857.65,1857.7,1856.57,1856.65
2023-08-01 01:45:47,1856.01,1856.2,1857.15,1857.2,1856.26,1856.57
2023-08-01 01:46:17,1856.1,1856.26,1857.15,1857.2,1855.78,1855.86
2023-08-01 01:46:48,1856.01,1856.19,1857.15,1857.2,1855.78,1855.86
2023-08-01 01:47:19,1855.82,1855.99,1857.1,1857.15,1855.78,1855.86
2023-08-01 01:47:50,1855.61,1855.74,1856.7,1856.75,1855.42,1855.5
2023-08-01 01:48:20,1855.97,1856.15,1856.7,1856.75,1855.28,1855.36
2023-08-01 01:48:51,1855.81,1855.93,1856.7,1856.75,1855.23,1855.31
2023-08-01 01:49:22,1855.78,1855.96,1856.7,1856.75,1855.23,1855.31
2023-08-01 01:49:52,1855.41,1855.55,1856.3,1856.35,1855.08,1855.16
2023-08-01 01:50:23,1854.29,1854.39,1855.15,1855.2,1853.66,1853.84
2023-08-01 01:50:54,1854.23,1854.33,1855.15,1855.2,1853.65,1853.73
2023-08-01 01:51:24,1854.68,1854.8,1855.55,1855.6,1853.86,1853.94
2023-08-01 01:51:55,1854.07,1854.2,1855.2,1855.25,1853.86,1853.94
2023-08-01 01:52:26,1853.94,1854.15,1855.0,1855.05,1853.55,1853.63
2023-08-01 01:52:57,1854.04,1854.18,1855.0,1855.05,1853.55,1853.63
2023-08-01 01:53:27,1853.33,1853.55,1854.65,1854.7,1853.17,1853.25
2023-08-01 01:53:58,1852.86,1853.03,1853.6,1853.65,1852.05,1852.13
2023-08-01 01:54:29,1851.71,1851.94,1852.45,1852.5,1851.14,1851.22
2023-08-01 01:54:59,1852.63,1852.8,1853.4,1853.45,1851.4,1851.48
2023-08-01 01:55:30,1851.91,1852.08,1852.55,1852.6,1850.94,1851.02
2023-08-01 01:56:01,1851.75,1851.89,1852.55,1852.6,1850.94,1851.02
2023-08-01 01:56:31,1853.61,1853.76,1853.95,1854.0,1852.46,1852.54
2023-08-01 01:57:02,1853.44,1853.59,1854.15,1854.2,1852.46,1852.54
2023-08-01 01:57:33,1852.42,1852.52,1853.05,1853.1,1851.5,1851.58
2023-08-01 01:58:04,1852.23,1852.39,1852.8,1852.85,1851.57,1851.69
2023-08-01 01:58:34,1852.3,1852.45,1852.8,1852.85,1851.59,1851.67
2023-08-01 01:59:05,1852.28,1852.41,1852.9,1852.95,1851.66,1852.16
2023-08-01 01:59:36,1852.2,1852.35,1853.15,1853.2,1851.71,1851.86
2023-08-01 02:00:06,1852.63,1852.79,1853.0,1853.05,1851.73,1851.82
2023-08-01 02:00:37,1852.28,1852.4,1853.15,1853.2,1851.75,1851.86
2023-08-01 02:01:08,1853.2,1853.38,1853.95,1854.0,1852.46,1852.54
2023-08-01 02:01:38,1852.13,1852.26,1853.05,1853.1,1852.44,1852.52
2023-08-01 02:02:09,1852.01,1852.15,1852.75,1852.8,1851.73,1851.81
2023-08-01 02:02:40,1851.62,1851.79,1852.75,1852.8,1851.94,1852.02
2023-08-01 02:03:11,1852.16,1852.25,1852.85,1852.9,1851.98,1852.06
2023-08-01 02:03:41,1851.46,1851.57,1852.45,1852.5,1851.98,1852.06
2023-08-01 02:04:12,1851.58,1851.72,1852.05,1852.1,1851.56,1851.64
2023-08-01 02:04:43,1852.41,1852.49,1853.0,1853.05,1852.46,1852.54
2023-08-01 02:05:13,1851.65,1851.77,1852.6,1852.65,1851.56,1851.96
2023-08-01 02:05:44,1851.66,1851.77,1852.35,1852.4,1851.56,1851.77
2023-08-01 02:06:15,1851.96,1852.13,1852.3,1852.35,1852.01,1852.09
2023-08-01 02:06:46,1851.48,1851.65,1852.0,1852.05,1851.56,1851.69
2023-08-01 02:07:16,1851.45,1851.57,1852.15,1852.2,1851.59,1851.67
2023-08-01 02:07:47,1852.25,1852.39,1852.6,1852.65,1851.62,1851.7
2023-08-01 02:08:18,1851.75,1851.89,1852.65,1852.7,1851.44,1851.52
2023-08-01 02:08:48,1851.37,1851.5,1851.95,1852.0,1851.14,1851.22
2023-08-01 02:09:19,1851.21,1851.39,1851.7,1851.75,1851.12,1851.2
2023-08-01 02:09:50,1830.8,1831.4,1830.35,1830.4,1830.0,1830.49
2023-08-01 02:10:20,1824.03,1824.88,1823.85,1824.15,1821.11,1821.26
2023-08-01 02:10:51,1819.84,1819.99,1818.65,1818.7,1816.88,1817.02
2023-08-01 02:11:22,1823.63,1823.78,1823.05,1823.3,1821.25,1821.39
2023-08-01 02:11:53,1825.46,1825.6,1825.35,1825.4,1824.39,1824.53
2023-08-01 02:12:23,1820.91,1821.4,1821.45,1821.5,1820.91,1821.27
2023-08-01 02:12:54,1824.6,1824.74,1824.55,1824.6,1822.72,1823.2
2023-08-01 02:13:25,1826.06,1826.23,1825.55,1825.6,1824.1,1824.24
2023-08-01 02:13:55,1825.08,1825.3,1825.65,1825.7,1823.87,1824.23
2023-08-01 02:14:26,1825.89,1826.05,1826.15,1826.2,1825.28,1825.42
2023-08-01 02:14:57,1823.5,1823.74,1823.85,1823.9,1822.81,1822.95
2023-08-01 02:15:28,1825.23,1825.38,1825.75,1825.8,1824.22,1824.54
2023-08-01 02:15:58,1823.55,1823.92,1823.9,1823.95,1822.71,1822.85
2023-08-01 02:16:29,1823.81,1823.96,1824.0,1824.2,1821.98,1822.12
2023-08-01 02:17:00,1826.71,1826.89,1826.7,1826.75,1825.3,1825.66
2023-08-01 02:17:30,1826.32,1826.48,1826.5,1826.55,1825.21,1825.35
2023-08-01 02:18:01,1825.6,1825.79,1825.4,1825.45,1823.96,1824.1
2023-08-01 02:18:32,1825.38,1825.56,1825.55,1825.6,1823.77,1823.91
2023-08-01 02:19:02,1826.68,1826.91,1826.8,1826.85,1825.09,1825.23
2023-08-01 02:19:33,1826.83,1826.99,1827.15,1827.2,1825.52,1825.66
2023-08-01 02:20:04,1827.42,1827.58,1827.55,1827.6,1826.3,1826.44
2023-08-01 02:20:35,1827.65,1827.85,1827.75,1827.8,1826.28,1826.42
2023-08-01 02:21:05,1827.0,1827.29,1827.4,1827.45,1826.12,1826.26
2023-08-01 02:21:36,1827.63,1827.76,1827.8,1827.85,1826.51,1826.65
2023-08-01 02:22:07,1827.66,1827.73,1827.8,1827.85,1826.51,1826.65
2023-08-01 02:22:37,1827.0,1827.15,1827.2,1827.25,1826.12,1826.26
2023-08-01 02:23:08,1826.81,1827.18,1826.7,1826.75,1825.63,1826.16
2023-08-01 02:23:39,1827.82,1827.99,1827.95,1828.0,1826.72,1826.86
2023-08-01 02:24:09,1826.8,1826.99,1827.15,1827.2,1825.82,1826.3
2023-08-01 02:24:40,1825.84,1826.0,1825.8,1825.85,1824.83,1825.09
2023-08-01 02:25:11,1825.48,1825.68,1825.65,1825.7,1824.2,1824.36
2023-08-01 02:25:42,1825.58,1825.73,1825.45,1825.5,1824.38,1824.52
2023-08-01 02:26:12,1826.81,1827.0,1826.8,1826.85,1825.26,1825.4
2023-08-01 02:26:43,1827.31,1827.55,1827.65,1827.7,1826.08,1826.22
2023-08-01 02:27:14,1827.54,1827.67,1827.8,1827.85,1826.41,1826.55
2023-08-01 02:27:44,1827.91,1828.05,1827.95,1828.0,1826.54,1826.68
2023-08-01 02:28:15,1827.2,1827.37,1827.5,1827.55,1826.08,1826.38
