,t,o
94,2022-06-19,"{'1m': 87.7818940637177, '1w': 125.37686183547, '1y': 69.9671664656081, '2w': 107.299242109945, '3m': 71.2368809506198, '6m': 70.9048446268225}"
95,2022-06-20,"{'1m': 90.1110078528865, '1w': 123.059259085279, '1y': 70.1838803919033, '2w': 109.429314686739, '3m': 72.4904240150067, '6m': 71.4640361484945}"
96,2022-06-21,"{'1m': 91.2740315243635, '1w': 111.770405717749, '1y': 69.9970226576332, '2w': 113.230873871243, '3m': 72.9886314502271, '6m': 71.3547479304874}"
97,2022-06-22,"{'1m': 91.3014108311736, '1w': 107.443654048424, '1y': 69.8839311882078, '2w': 110.878991352683, '3m': 72.7980995335268, '6m': 71.4479677146478}"
98,2022-06-23,"{'1m': 91.2292956037751, '1w': 104.438803370655, '1y': 69.6086307346785, '2w': 112.400062396293, '3m': 72.9330031539719, '6m': 71.4558348023048}"
99,2022-06-24,"{'1m': 91.8917857748212, '1w': 101.3594696274, '1y': 69.5968619344965, '2w': 115.515185949686, '3m': 72.9777011134556, '6m': 71.2747615980558}"
100,2022-06-25,"{'1m': 91.7084665092306, '1w': 79.9439295053847, '1y': 69.35577386599, '2w': 116.637162909603, '3m': 72.8027973009945, '6m': 71.3085407720669}"
101,2022-06-26,"{'1m': 91.8502303946619, '1w': 58.8900555502855, '1y': 69.0407109701822, '2w': 116.474354003346, '3m': 72.8190190114988, '6m': 71.3116872738867}"
102,2022-06-27,"{'1m': 91.7477359053857, '1w': 48.454487739839, '1y': 68.8500722845709, '2w': 97.9849400910624, '3m': 72.7007972791371, '6m': 71.2551546253549}"
103,2022-06-28,"{'1m': 91.7113016462791, '1w': 43.7810172889642, '1y': 68.7239513910358, '2w': 85.0658022054568, '3m': 71.7170823460485, '6m': 71.0170992960171}"
104,2022-06-29,"{'1m': 91.7705155031646, '1w': 40.9615264200086, '1y': 68.6800620211586, '2w': 81.4977007329987, '3m': 71.8002467189153, '6m': 71.0263118716052}"
105,2022-06-30,"{'1m': 89.8733974414393, '1w': 47.4550509895491, '1y': 68.7353871122214, '2w': 81.0996608408732, '3m': 72.1647106856142, '6m': 71.2306977559942}"
106,2022-07-01,"{'1m': 89.4312890758368, '1w': 42.722521074765, '1y': 68.6779925388295, '2w': 78.8362764393739, '3m': 72.4266538156026, '6m': 71.3948871908433}"
107,2022-07-02,"{'1m': 88.6780736341803, '1w': 41.5522862953484, '1y': 68.6847083142896, '2w': 69.0071702671295, '3m': 72.1975386502302, '6m': 71.4383086347682}"
108,2022-07-03,"{'1m': 88.3853847717293, '1w': 39.6986259056212, '1y': 68.6037343617058, '2w': 57.9135861420448, '3m': 72.1812751732739, '6m': 71.4325135842539}"
109,2022-07-04,"{'1m': 89.1023460697105, '1w': 46.5387085936477, '1y': 68.5860683424509, '2w': 49.9117615758163, '3m': 72.4427554443679, '6m': 71.5295430376215}"
110,2022-07-05,"{'1m': 90.4145154750458, '1w': 55.159247769996, '1y': 68.5923610372078, '2w': 49.8694325084876, '3m': 72.8843763853398, '6m': 71.7024443356958}"
111,2022-07-06,"{'1m': 88.4482461478077, '1w': 53.2976837738456, '1y': 68.610352269194, '2w': 47.5508323369284, '3m': 72.8270751646233, '6m': 71.2192579477428}"
112,2022-07-07,"{'1m': 88.9279121507232, '1w': 44.4747332397094, '1y': 68.6785326019922, '2w': 49.2766132385939, '3m': 73.1052083625731, '6m': 71.3275536365198}"
113,2022-07-08,"{'1m': 90.6561456133104, '1w': 52.0739089933328, '1y': 68.7008870105499, '2w': 53.7619967737557, '3m': 74.0069368141771, '6m': 71.7322855559934}"
114,2022-07-09,"{'1m': 90.6658103878875, '1w': 48.2353432327711, '1y': 68.6819017360256, '2w': 53.8843101841817, '3m': 73.9628630904538, '6m': 71.7124112545956}"
115,2022-07-10,"{'1m': 90.7146131708522, '1w': 54.3595066928098, '1y': 68.686064788692, '2w': 55.3032393049228, '3m': 74.0016285072986, '6m': 71.7645331923993}"
116,2022-07-11,"{'1m': 90.8485878584352, '1w': 61.298607017264, '1y': 68.7484851940223, '2w': 56.9934891713451, '3m': 73.7985840385793, '6m': 71.816936618038}"
117,2022-07-12,"{'1m': 90.3985651134753, '1w': 62.2665519935858, '1y': 68.7978662106599, '2w': 58.9061394732618, '3m': 73.7214945218408, '6m': 71.8434380224997}"
118,2022-07-13,"{'1m': 78.785493084416, '1w': 61.8540254764056, '1y': 68.7784051047055, '2w': 57.8742470414213, '3m': 73.6240695145985, '6m': 71.8200504506693}"
119,2022-07-14,"{'1m': 72.1293455439165, '1w': 61.7896343947121, '1y': 68.8292219279924, '2w': 55.4773510197587, '3m': 73.7787904792688, '6m': 71.9452271660403}"
120,2022-07-15,"{'1m': 70.476472180411, '1w': 53.9887307100731, '1y': 68.8634647474433, '2w': 56.9978253821163, '3m': 74.1251883152415, '6m': 72.1151698939105}"
121,2022-07-16,"{'1m': 69.079672742456, '1w': 54.6573937141045, '1y': 68.8444466749946, '2w': 55.5716443193578, '3m': 74.1554112296135, '6m': 72.1408172464527}"
122,2022-07-17,"{'1m': 67.6731959441522, '1w': 55.6087196715891, '1y': 68.8911593292161, '2w': 56.4442155649066, '3m': 74.4067655030054, '6m': 72.2374177911648}"
